Distance (m),Force (N)
0.002909,0.957022
0.002909,0.957022
0.002909,0.969538
0.002909,0.969538
0.002909,0.969538
0.002909,0.969538
0.002909,0.982053
0.002909,0.969538
0.002909,0.982053
0.002909,0.975796
0.002909,0.982053
0.002909,0.982053
0.002909,0.975796
0.002909,0.982053
0.002909,0.975796
0.002909,0.982053
0.002909,1.000827
0.002909,0.988311
0.002909,0.988311
0.002909,0.994569
0.002685,1.000827
0.002685,0.994569
0.002685,0.988311
0.002685,0.994569
0.002685,0.988311
0.002685,0.988311
0.002685,0.994569
0.002685,0.988311
0.002685,0.988311
0.002685,1.000827
0.002685,1.000827
0.002685,1.000827
0.002685,1.013343
0.002685,1.013343
0.002685,0.994569
0.002685,1.007085
0.002685,1.013343
0.002685,1.013343
0.002685,1.007085
0.002685,1.007085
0.002685,1.007085
0.002685,1.0196
0.002685,1.007085
0.002685,1.025858
0.002685,1.044632
0.002685,1.05089
0.002461,1.057147
0.002461,1.088436
0.002461,1.088436
0.002461,1.10721
0.002238,1.119726
0.002238,1.157273
0.002238,1.169788
0.002238,1.182304
0.002238,1.207335
0.002238,1.207335
0.002238,1.232366
0.002014,1.226109
0.002014,1.232366
0.002014,1.244882
0.002014,1.244882
0.002014,1.276171
0.002014,1.288687
0.00179,1.313718
0.00179,1.338749
0.00179,1.376296
0.00179,1.39507
0.001566,1.413843
0.001566,1.438875
0.001566,1.463906
0.001566,1.482679
0.001566,1.507711
0.001566,1.507711
0.001566,1.501453
0.001566,1.507711
0.001566,1.513968
0.001566,1.513968
0.001566,1.520226
0.001566,1.526484
0.001566,1.520226
0.001566,1.520226
0.001566,1.532742
0.001566,1.532742
0.001566,1.545257
0.001566,1.551515
0.001566,1.551515
0.001566,1.551515
0.001566,1.551515
0.001566,1.551515
0.001566,1.564031
0.001566,1.551515
0.001566,1.551515
0.001566,1.564031
0.001566,1.564031
0.001566,1.570289
0.001566,1.570289
0.001566,1.576547
0.001566,1.564031
0.001566,1.576547
0.001566,1.570289
0.001566,1.576547
0.001566,1.570289
0.001566,1.589062
0.001566,1.576547
0.001566,1.589062
0.001566,1.582804
0.001566,1.589062
0.001566,1.582804
0.001566,1.576547
0.001566,1.59532
0.001566,1.582804
0.001566,1.589062
0.001566,1.59532
0.001566,1.59532
0.001566,1.601578
0.001566,1.59532
0.001566,1.59532
0.001566,1.601578
0.001566,1.601578
0.001566,1.59532
0.001566,1.607836
0.001566,1.614094
0.001566,1.626609
0.001566,1.614094
0.001566,1.607836
0.001566,1.614094
0.001566,1.620351
0.001566,1.614094
0.001566,1.620351
0.001566,1.620351
0.001566,1.626609
0.001566,1.626609
0.001566,1.620351
0.001566,1.632867
0.001566,1.639125
0.001566,1.639125
0.001566,1.632867
0.001566,1.639125
0.001566,1.632867
0.001566,1.639125
0.001566,1.645383
0.001566,1.639125
0.001566,1.65164
0.001566,1.65164
0.001566,1.645383
0.001566,1.65164
0.001566,1.65164
0.001566,1.657898
0.001566,1.657898
0.001566,1.657898
0.001566,1.657898
0.001566,1.670414
0.001566,1.664156
0.001566,1.664156
0.001566,1.664156
0.001566,1.670414
0.001566,1.676672
0.001566,1.664156
0.001566,1.676672
0.001566,1.689187
0.001566,1.68293
0.001566,1.68293
0.001566,1.676672
0.001566,1.68293
0.001566,1.676672
0.001566,1.68293
0.001566,1.68293
0.001566,1.68293
0.001566,1.689187
0.001566,1.695445
0.001566,1.695445
0.001566,1.695445
0.001566,1.695445
0.001566,1.695445
0.001566,1.689187
0.001566,1.701703
0.001566,1.707961
0.001566,1.707961
0.001566,1.707961
0.001566,1.707961
0.001566,1.707961
0.001566,1.707961
0.001566,1.720477
0.001566,1.714219
0.001566,1.714219
0.001566,1.701703
0.001566,1.707961
0.001566,1.707961
0.001566,1.720477
0.001566,1.720477
0.001566,1.714219
0.001566,1.726734
0.001566,1.720477
0.001566,1.726734
0.001566,1.714219
0.001566,1.732992
0.001566,1.720477
0.001566,1.732992
0.001566,1.726734
0.001566,1.732992
0.001566,1.73925
0.001566,1.73925
0.001566,1.732992
0.001566,1.73925
0.001566,1.73925
0.001566,1.732992
0.001566,1.745508
0.001566,1.726734
0.001566,1.73925
0.001566,1.732992
0.001566,1.745508
0.001566,1.751766
0.001566,1.745508
0.001566,1.751766
0.001566,1.751766
0.001566,1.745508
0.001566,1.745508
0.001566,1.745508
0.001566,1.745508
0.001566,1.745508
0.001566,1.745508
0.001566,1.745508
0.001566,1.758023
0.001566,1.751766
0.001566,1.758023
0.001566,1.758023
0.001566,1.758023
0.001566,1.751766
0.001566,1.758023
0.001566,1.758023
0.001566,1.764281
0.001566,1.764281
0.001566,1.745508
0.001566,1.758023
0.001566,1.764281
0.001566,1.764281
0.001566,1.764281
0.001566,1.764281
0.001566,1.758023
0.001566,1.764281
0.001566,1.770539
0.001566,1.764281
0.001566,1.758023
0.001566,1.776797
0.001566,1.776797
0.001566,1.776797
0.001566,1.776797
0.001566,1.770539
0.001566,1.770539
0.001566,1.776797
0.001566,1.770539
0.001566,1.776797
0.001566,1.776797
0.001566,1.770539
0.001566,1.776797
0.001566,1.770539
0.001566,1.770539
0.001566,1.776797
0.001566,1.770539
0.001566,1.770539
0.001566,1.776797
0.001566,1.789313
0.001566,1.776797
